Video_ID,Comment
2fo_9usfaj8,빨리 느좋 국힙플레이리스트 줘요 현기증나요❤
2fo_9usfaj8,완전 좋아요💖
2fo_9usfaj8,진짜 댓글 잘 안다는데 이형 선곡+DJ실력은 미쳤다 흥해야함다
2fo_9usfaj8,마지막곡뭐냐?
2fo_9usfaj8,最高のトラック！！！！
2fo_9usfaj8,고3인데 요즘 매일 공부하다가 듣고있어요!! 구독하고가요 2탄도 기대합니당🤍🤍
2fo_9usfaj8,시스루넣넣어주세여
2fo_9usfaj8,❤
2fo_9usfaj8,이곳에...잠들고싶다
2fo_9usfaj8,국힙 플레이리스트 또 만들어주세여
2fo_9usfaj8,와 진짜 너무 좋네요
2fo_9usfaj8,07년생도 슬쩍 껴봅니다...
2fo_9usfaj8,진짜감사합니다….
2fo_9usfaj8,음악 도파민  넘 좋네요 ❤
2fo_9usfaj8,와…….. 진짜 최고 감사합니다
2fo_9usfaj8,이런 거 하나만 더 해주세요 저 진짜 24시간 내내 이거만 들어요
2fo_9usfaj8,공부하면서 하루종일 이 플리만 듣고있음… 이 플리 안 뜨면 문제있는거다ㄹㅇ
2fo_9usfaj8,👍
2fo_9usfaj8,iffy 나올때가 개좋네
2fo_9usfaj8,이거지
2fo_9usfaj8,49살 아짐마 90년대 힙합 듣고싶어 들어왔다 너무 좋아 구독 누르고갑니다... 요리하며 들으니 너무 좋네요.. 살짝씩 리듬타며..
2fo_9usfaj8,1:14 진짜여기부터소름돋게좋음
2fo_9usfaj8,공부하면서 듣기 너무 좋아요 감사해요
2fo_9usfaj8,사이먼 도미닉이랑 물음표 이어지는거 진짜좋아요!!!!!!!!!!!!!!!!!
2fo_9usfaj8,윤영철이냐
2fo_9usfaj8,아침에 나갈 준비할 때 매번 들어요❤ 진짜 처음부터 끝까지 좋은 건 처음이에요.. 진짜 들어본 것중 1등ㅠㅠ 하 너무 좋아 2탄은 언제 나오나요?! 기다리고 있습니다🔥
2fo_9usfaj8,"아무생각없이 들어와서 아무생각없이 듣다가 노래가 믹스팝처럼 되어있길래 아 한 노래가 다양한 느낌이네~하며 궁금해서 영상 봤는데 여러곡을 한곡처럼 만드신 거였군요.. 너무 좋아서 바로 좋아요랑 구독 눌렀네용,, 👍👍"
2fo_9usfaj8,약간 손흥민 닮았어요..ㅋㅋ
2fo_9usfaj8,첫곡부터 지리고 바로 플리 저장 좋아요 구독 갈김 진짜 배우신분 👏👏👏👏👏👏👏👏 딱 이런 플리 찾고있었는데 없었는데 진짜 오아시스네요ㅜㅜㅜㅜ리스트 보자마자 감탄나옴ㅋㅋㅋㅋ
2fo_9usfaj8,12:25 메테오 도입부에서 지코 짤리네 ㅋㅋ
2fo_9usfaj8,지나가는 00년생입니다 진짜 2~3개 빼고 다 아는 노래고 다 좋아합니다🥰 사랑해요~
2fo_9usfaj8,ㅋㅋㅋㅋㅋ 진짜 플리 제대로 뽑았네
2fo_9usfaj8,사클계정은 없으신가요?
2fo_9usfaj8,에픽하이 노래 하나 제발 넣어주세요 ㅜㅜㅜㅜㅜㅜㅜ
2fo_9usfaj8,진짜 제 인생플레이리스트예요 🤍🤍🤍 지우지 말아주세요 ㅠㅠ❤️❤️
2fo_9usfaj8,미친 딱 찾던거다.
2fo_9usfaj8,진짜 나만알고싶다~~~~ 그래도.. 유튜브 승승장구하길 바라는…❤
2fo_9usfaj8,오아시스... 메테오.... 앤줄라이... 빈지노까지....... 갓리스트다모으셧네여 한동안내 운전플리다 ㅠㅠㅠ
2fo_9usfaj8,첫곡부터 ㅠ
2fo_9usfaj8,이거 락볼링장에서 엄청 틀어줌 ㅋㅋ
2fo_9usfaj8,썸네일 앨범커버 보자마자 노래랑 래퍼이름 다 떠올라서 들어왔음 최고..♡
2fo_9usfaj8,말년호빙요님 항상 응원합니다!
2fo_9usfaj8,아미쳤다
2fo_9usfaj8,"레디 수면 위, do better"
2fo_9usfaj8,플리가 미쳤어요
2fo_9usfaj8,캬-❤
2fo_9usfaj8,저의 런닝머신 메이트 ❤
2fo_9usfaj8,리쌍노래도 진짜 좋은데
2fo_9usfaj8,이시절 힙합 그립네
2fo_9usfaj8,진짜 ❤
2fo_9usfaj8,잘했어요
2fo_9usfaj8,I love 2010’s K-R&B! Thank you for the mix!!
2fo_9usfaj8,16:34 노래 제목 뭐에욮?!
2fo_9usfaj8,춤추고싶네요.
2fo_9usfaj8,추억 오져요 ... 내 플리 그잡채 ㅠㅠ 이때가 띵곡 젤 많은거 같아요
2fo_9usfaj8,개좋아요 진심
2fo_9usfaj8,49:17
2fo_9usfaj8,구독
2fo_9usfaj8,노래 제목도 함께넣어주시면 좋을거같아요
2fo_9usfaj8,Dj분 성함 알수있나요?
2fo_9usfaj8,90이라기도 애매하고 10도 애매한거 아닌가 00입장에서 제 세대같은 느낌인데
2fo_9usfaj8,양동근형님꺼도 한번 쓰까주세요!
2fo_9usfaj8,첫곡부터 너무 마음에 들어요
2fo_9usfaj8,아...진짜넘좋다..
2fo_9usfaj8,"너무 잘 말아주셨다ㅠㅠㅠ
이십대 중반인데 진심 그냥 내 플리야❤"
2fo_9usfaj8,"난 이 DJ 좋음 . 그때에 기억과 감성이 되 살아 난달까. 
3시간 짜리 DJ 만든거 참고로 출 퇴근 시간 게임시간 다들어요 ~~~
3시간동안 DJ 하는거 대단 ! 열!쩡 열쩡!"
2fo_9usfaj8,34:40 노래 뭔지 아시는분...
2fo_9usfaj8,유일하게 팔로우 한 DJ 채널인데 이번 영상 완전 제취향이에요)( 2탄도 잘 부탁드립니다:)
2fo_9usfaj8,얌전한 고양이 한마리 부뚜막에 올라가 리믹스버젼 가능하심까
2fo_9usfaj8,"죠지 보트요..이 플리 넘 신나자너,,"
2fo_9usfaj8,조으다
2fo_9usfaj8,식케이 fire 이요
2fo_9usfaj8,형님 국힙 근본 다듀 - AEAO 신청합니다
2fo_9usfaj8,2010년생인데 걍 제 스포티파이 그대롭니다..허허
2fo_9usfaj8,미친 플리다 하나부터 열까지 너무 좋아여..🫶
2fo_9usfaj8,"약간 재지팩트 바이브 리믹스 한번 시원하게 말아주십쇼,,,!"
2fo_9usfaj8,겁나 트렌디했는데 이젠 90년대생이 좋아하는 노래가 됐다니...😢
2fo_9usfaj8,🙌🙌
2fo_9usfaj8,지코-boys and girls
2fo_9usfaj8,댓글로 곡 추천 해주시면 종합해서 2탄도 만들어 보겠습니다 !
2fo_9usfaj8,찢..었다....
ckiqdINyjKk,"𝐏𝐋𝐀𝐘𝐋𝐈𝐒𝐓

0:01 창모 - METEOR
3:19 BE'O - 리무진
7:01 G-DRAGON - POWER
9:25 B.I - 겁도 없이
12:22 Sokodomo - 회전목마
16:33 창모 -마에스트로
20:16 PATEKO - Rainy Day
23:57 지코 - 새삥
26:25 이영지 - Small Girl
29:36 Paul Blanco - Summer
32:54 박재범 - 좋아(JOAH)
36:44 릴타치,호치키스 - 눈
40:12 빈지노 - Boogie on & on
43:45 송민호 - 아낙네
47:14 - Dori - 밤"
ckiqdINyjKk,플리 너무 좋아용🤍🤍🩷
ckiqdINyjKk,와❤❤❤
ckiqdINyjKk,너무 좋아요 ❤❤❤❤❤😊😊😊😊😊😊😊
ckiqdINyjKk,와 이분은 플리 잘만드시는데 왜 안뜨지?
ckiqdINyjKk,0ㅣ거지 ㅠㅠㅠㅠㅠㅠ🎉🎉
ckiqdINyjKk,굿굿굿 근래 찾던 힙리스트중 쵝오!
ckiqdINyjKk,감사합니다.
ckiqdINyjKk,갱을 가져와라!!
ckiqdINyjKk,첫곡이 창모라 신의한수!!!
ckiqdINyjKk,둠칫둠칫 신나요~~❤❤
ckiqdINyjKk,와~~선곡 미쵸따
ckiqdINyjKk,대중픽이라 믿고보는 단골집 가는 너낌이라 한번씩 들릴꺼같아요
ckiqdINyjKk,50:25
ckiqdINyjKk,너무 대중픽이어서 나는 좀
ckiqdINyjKk,미친 플리 완전 내 스타일..
ckiqdINyjKk,50:25
ckiqdINyjKk,아침부터 둠칫둠칫 하러 왔어요! 🤭😎
ckiqdINyjKk,와 힙합 찍먹파인데 어쩜 이렇게 대중적으로 유명하고 제가 다 아는 노래만 ㄷㄷ 이 플리 된다!
ckiqdINyjKk,진짜 제 취향만 가득한 플리였어요 고등랩퍼랑 쇼미랑 탑100에 있는 힙합 깔짝만 아는데 힙합 모르는 사람이 들어도 빠져들것같아요!!
ckiqdINyjKk,"여러분의 소중한 댓글 하나하나 다 읽고 있어요. 정말 큰 힘이 되고 있어요! 하트로 제 감사한 마음을 표현합니다 ❤ 
혹시 듣고 싶은 음악이나 추천받고 싶은 플레이리스트가 있으시면 언제든 댓글로 남겨주세요!"
ckiqdINyjKk,"와...진짜 팝송도 힙합도 너무 다 좋아요🤯
좋아요 누르고 가요~👍👍"
ckiqdINyjKk,집중은 모르겠고 스카에서 어깨춤 자랑하고 있슴다 ☺
ppjRIEgcXIY,유일하게 랩을 외운곡이 죽일놈임
